Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2014-09-20,Lat Pulldown,Back,55.0,15,,,,""
2014-09-20,Lat Pulldown,Back,55.0,15,,,,""
2014-09-20,Lat Pulldown,Back,55.0,15,,,,""
2014-09-20,Lat Pulldown,Back,60.0,15,,,,""
2014-09-20,Dumbbell Row,Back,25.0,15,,,,""
2014-09-20,Dumbbell Row,Back,25.0,15,,,,""
2014-09-20,Dumbbell Row,Back,25.0,15,,,,""
2014-09-20,Dumbbell Row,Back,25.0,15,,,,""
2014-09-20,Flat Dumbbell Fly,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Fly,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Fly,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Fly,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Bench Press,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Bench Press,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Bench Press,Chest,15.0,15,,,,""
2014-09-20,Flat Dumbbell Bench Press,Chest,15.0,15,,,,""
2014-09-20,Dumbbell Curl,Biceps,15.0,12,,,,""
2014-09-20,Dumbbell Curl,Biceps,15.0,12,,,,""
2014-09-20,Dumbbell Curl,Biceps,15.0,12,,,,""
2014-09-20,Seated Dumbbell Press,Shoulders,15.0,12,,,,""
2014-09-20,Seated Dumbbell Press,Shoulders,15.0,12,,,,""
2014-09-20,Seated Dumbbell Press,Shoulders,15.0,12,,,,""
2014-09-20,Seated Dumbbell Lateral Raise,Shoulders,5.0,15,,,,""
2014-09-20,Seated Dumbbell Lateral Raise,Shoulders,5.0,15,,,,""
2014-09-20,Seated Dumbbell Lateral Raise,Shoulders,5.0,15,,,,""
2014-09-20,Cable Tricep Press,Triceps,50.0,15,,,,""
2014-09-20,Cable Tricep Press,Triceps,50.0,15,,,,""
2014-09-20,Cable Tricep Press,Triceps,50.0,15,,,,""
2014-09-20,Seated Dips,Triceps,0.0,15,,,,""
2014-09-20,Seated Dips,Triceps,0.0,15,,,,""
2014-09-20,Seated Dips,Triceps,0.0,15,,,,""
2014-09-20,Assisted Chin Ups,Biceps,0.0,15,,,,"55 lbs assist"
2014-09-20,Assisted Chin Ups,Biceps,0.0,15,,,,""
2014-09-20,Assisted Chin Ups,Biceps,0.0,15,,,,""
2014-11-04,Zumba,Cardio,,,0.0,m,0:25:00,""
2014-11-06,Zumba,Cardio,,,0.0,m,0:45:00,""
2014-11-08,Burpees W Jump,Cardio,0.0,15,,,,"One min rest"
2014-11-08,Burpees W Jump,Cardio,0.0,15,,,,"10 on floor on knees, 5 on couch on knees, one min rest"
2014-11-08,Burpees W Jump,Cardio,0.0,15,,,,"10 on floor on knees, 5 on couch on knees, spotted"
2014-11-08,Flat Band Fly On Ball,Chest,40.0,20,,,,""
2014-11-08,Flat Band Fly On Ball,Chest,80.0,15,,,,""
2014-11-08,Flat Band Fly On Ball,Chest,80.0,15,,,,""
2014-11-08,Flat Band Chest Press On Ball,Chest,40.0,15,,,,""
2014-11-08,Flat Band Chest Press On Ball,Chest,80.0,15,,,,""
2014-11-08,Flat Band Chest Press On Ball,Chest,80.0,15,,,,"One foot"
2014-11-08,Flat Band Tricep Press On Ball,Triceps,40.0,15,,,,""
